Transaction_ID,Date,Customer_Name,Account_Number,Account_Type,Transaction_Type,Amount,Currency,Balance_After,Channel,Status,Category,Merchant_Name,Bank_Name,Phone_Number,Transaction_Ref,City,Remarks
TXN15727,06-25-2024,Suresh Reddy,****0431,CURRENT,Credit,Rs.225406.0,Rs,380013.93,pos,SUCCESS,GROCERY,DMart,Canara,+91-0379634737,REF29506680,Ahmedabad,Refund
TXN16046,2023/06/14,Sunita Devi,6670 9659 75835867,FD,debit,₹1754.54,inr,452973.91,NEFT,SUCCESS,EMI,N/A,BOB,+91-6911883237,REF84058655,PUNE,Bill payment
txn17730,27 Mar 2024,rahul sharma,AC21592288911317,SALARY,dr, 161761.0 ,INR,488061.02,Mobile,Success,MEDICAL,Ola,Union Bank,01876735454,REF33399049,Bhubaneswar,Duplicate entry
TXN17236,21 Jun 2023,RAHUL SHARMA,****8480,FD,C,"125,623.00",Rs.,396191.42,IMPS,Pending,GROCERY,UBER,BOB,1004262460,REF99769284,PUNE,UPI payment
TXN16955,05/03/23,AMIT KUMAR,863814911255,FD,dr,157109,INR ,173471.6,Online,SUCCESS,Rent,Flipkart,Yes Bank,+917505854114,REF54276450,DELHI,Test txn
TXN16903,20-08-2023,Sunita Devi,2490418222,Savings,debit,INR 203477.78,INR,50477.83,,FAILED,NA,SWIGGY,SBI,,REF52899086,Lucknow,Salary credit
TXN16986,15 Nov 2023,Amit Kumar,XXXX7137,NULL,D,154268.0/-,inr,257417.8,ATM,Failed,Medical,UBER,ICICI,+91-5001842117,REF98837252,Lucknow,Salary credit
TXN12637,04-01-2023,rahul sharma,6944182697,SALARY,C,₹57109.52,INR,136661.32,POS,Completed,Entertainment,amazon,Union Bank,,,MUMBAI,UPI payment
TXN17084,11 Jul 2023,Kavita Verma,XXXX0367,Savings,cr,76347.94/-,rs,394694.57,Pos,SUCCESS,Entertainment,amazon,Kotak,N/A,REF67249292,PUNE,UPI payment
TXN15678,"July 26, 2024",Sunita Devi,5500 3330 273949,current,CR,₹172273.68,inr,186398.78,Mobile,SUCCESS,MEDICAL,Uber,Yes Bank,,REF31714548,Jaipur,Loan EMI
TXN17341,08-29-2024,rahul sharma,AC77684674205509,savings,CREDIT, 133122.0 ,rs,404641.16,pos,Reversed,Transfer,N/A,-,+919394091176,REF45160969,MUMBAI,Test txn
TXN11903,2023/08/27,Ravi Chauhan,XXXX9783,SALARY,Debit,INR 13644.0,INR,292414.69,POS,REVERSED,Utilities,PayTM,NULL,25620-83610,REF02570162,Ahmedabad,N/A
TXN11824,"June 19, 2024",Pooja Joshi,XXXX2293,SALARY,credit,Rs.82027.0,rs,475411.81,upi,failed,Entertainment,PayTM,PNB,04780079246,REF98375550,Pune,Refund
TXN14294,2024/10/19,Ravi Chauhan,6165 5322 66426519,SAVINGS,C,"234,779.14",INR,431139.7,pos,SUCCESS,SHOPPING,DMART,AXIS,+918332383562,REF71191820,N/A,ATM cash
TXN13019,24 Jun 2023,Kavita Verma,****9397,Savings,cr,57664.96/-,inr,175416.79,POS,Completed,MEDICAL,DMart,Union Bank,+91-8323348337,REF73785139,Delhi,Loan EMI
TXN15446,2024/05/11,Deepak Nair,162948238243,Fixed Deposit,debit,"71,010.00",rs,458913.9,BRANCH,Completed,Shopping,N/A,SBI,+91-3878097131,REF79148699,Mumbai,Duplicate entry
TXN16437,18/04/23,Kavita Verma,****7421,N/A,DR,208489.0/-,inr,378437.3,pos,failed,Medical,DMart,AXIS,+91-2327465600,REF13145677,DELHI,Online purchase
TXN16269,29/06/24,Suresh Reddy,XXXX3410,FD,D,Rs.93767.0,Inr,479697.5,ONLINE,success,Utilities,DMart,ICICI,N/A,REF18538556,Kanpur,
TXN12134,05/12/23,RAHUL SHARMA,XXXX1051,savings,CR, 67809.0 ,Inr,117556.18,UPI,Success,Insurance,Flipkart,SBI,,REF23661620,Bangalore,UPI payment
TXN11216,17-04-2024,AMIT KUMAR,6367 8508 9897,SALARY,Credit,₹171050.0,INR ,177716.66,UPI,Success,SALARY,DMart,Union Bank,+914207675149,REF41157330,MUMBAI,Test txn
TXN14784,2024/05/12,Neha Gupta,AC2161060655,Fixed Deposit,C,₹1082.96,Rs,444092.95,ONLINE,failed,-,AMAZON,Canara,45276-10650,REF72800883,Nagpur,ATM cash
TXN12563,24/03/24,RAJESH PATEL,0060 8307 7366,Fixed Deposit,dr,121657,rs,166865.63,branch,Reversed,TRANSFER,,Yes Bank,N/A,REF81207962,MUMBAI,Duplicate entry
TXN11200,12/11/2023,Priya Singh,****4202,-,Debit,Rs.87792.0, INR,489957.49,-,FAILED,SHOPPING,PhonePe,HDFC,+917054245190,REF61103565,BANGALORE,Duplicate entry
TXN14864,27/01/2024,Sunita Devi,****5956,Savings,cr,35498,Rs,410618.91,NEFT,Completed,FOOD,amazon,Yes Bank,+914669508418,REF60643809,Bangalore,ATM cash
TXN16613,20/11/23,Amit Kumar,9160 8979 0234,Savings,NA,29637.0/-,Rs.,80371.41,ATM,SUCCESS,Entertainment,Swiggy,Canara,+910824236382,REF47971898,N/A,Bill payment
TXN16880,10-02-2023,RAHUL SHARMA,7842 7629 0823,current,DR,"185,897.00", INR,145872.57,null,Reversed,,PhonePe,SBI,05349060209,REF23116627,DELHI,
